Name                                                                                 Stmts   Miss  Cover
--------------------------------------------------------------------------------------------------------
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/__init__.py                   5      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/_version.py                   2      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/coercions.py                156      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/collector.py                328      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/completion.py                81      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/context.py                  120      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/definition_knowledge.py      82      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/discovery.py                102      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/engine.py                   334      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/formatter.py                146      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/hooks.py                    104      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/items.py                    168      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/lsp.py                        2      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/managers.py                  45      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/models.py                    98      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/reporting.py                 68      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/step_ast_discovery.py       237      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/step_catalog.py             289      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/step_materialization.py     184      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/steps/__init__.py            54      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/steps/definition.py         105      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/steps/registry.py           256      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/types.py                      8      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/utils.py                    151      0   100%
--------------------------------------------------------------------------------------------------------
TOTAL                                                                                 3125      0   100%
