Name                                                                                         Stmts   Miss  Cover
----------------------------------------------------------------------------------------------------------------
packages/cosecha-core/src/cosecha/core/__init__.py                                               0      0   100%
packages/cosecha-core/src/cosecha/core/_version.py                                               2      0   100%
packages/cosecha-core/src/cosecha/core/cache.py                                                 58      0   100%
packages/cosecha-core/src/cosecha/core/capabilities.py                                         111      0   100%
packages/cosecha-core/src/cosecha/core/capture.py                                               36      0   100%
packages/cosecha-core/src/cosecha/core/collector.py                                             73      0   100%
packages/cosecha-core/src/cosecha/core/config.py                                                91      0   100%
packages/cosecha-core/src/cosecha/core/console.py                                               87      0   100%
packages/cosecha-core/src/cosecha/core/console_rendering.py                                     47      0   100%
packages/cosecha-core/src/cosecha/core/cosecha_manifest.py                                     121      0   100%
packages/cosecha-core/src/cosecha/core/cxp_adapters.py                                          98      0   100%
packages/cosecha-core/src/cosecha/core/definition_knowledge.py                                  27      0   100%
packages/cosecha-core/src/cosecha/core/diagnostics.py                                           21      0   100%
packages/cosecha-core/src/cosecha/core/discovery.py                                            224      0   100%
packages/cosecha-core/src/cosecha/core/domain_event_stream.py                                   53      0   100%
packages/cosecha-core/src/cosecha/core/domain_events.py                                        435      0   100%
packages/cosecha-core/src/cosecha/core/engine_dependencies.py                                   64      0   100%
packages/cosecha-core/src/cosecha/core/engines/__init__.py                                       2      0   100%
packages/cosecha-core/src/cosecha/core/engines/base.py                                          95      0   100%
packages/cosecha-core/src/cosecha/core/event_bus.py                                             49      0   100%
packages/cosecha-core/src/cosecha/core/exceptions.py                                            15      0   100%
packages/cosecha-core/src/cosecha/core/execution_ir.py                                         257      0   100%
packages/cosecha-core/src/cosecha/core/execution_runtime.py                                     66      0   100%
packages/cosecha-core/src/cosecha/core/extensions.py                                            82      0   100%
packages/cosecha-core/src/cosecha/core/hooks.py                                                 15      0   100%
packages/cosecha-core/src/cosecha/core/instrumentation.py                                       20      0   100%
packages/cosecha-core/src/cosecha/core/items.py                                                 62      0   100%
packages/cosecha-core/src/cosecha/core/knowledge_base.py                                      1316    174    87%
packages/cosecha-core/src/cosecha/core/knowledge_test_descriptor.py                             15      0   100%
packages/cosecha-core/src/cosecha/core/location.py                                              49      0   100%
packages/cosecha-core/src/cosecha/core/manifest_loader.py                                      150      0   100%
packages/cosecha-core/src/cosecha/core/manifest_materialization.py                             105      0   100%
packages/cosecha-core/src/cosecha/core/manifest_selection.py                                    80      0   100%
packages/cosecha-core/src/cosecha/core/manifest_symbols.py                                      39      0   100%
packages/cosecha-core/src/cosecha/core/manifest_types.py                                       204      0   100%
packages/cosecha-core/src/cosecha/core/manifest_validation.py                                  188      0   100%
packages/cosecha-core/src/cosecha/core/module_loading.py                                        34      0   100%
packages/cosecha-core/src/cosecha/core/operations.py                                           551      4    99%
packages/cosecha-core/src/cosecha/core/output.py                                                11      0   100%
packages/cosecha-core/src/cosecha/core/plugins/__init__.py                                       0      0   100%
packages/cosecha-core/src/cosecha/core/plugins/base.py                                          68      0   100%
packages/cosecha-core/src/cosecha/core/plugins/telemetry.py                                     34      0   100%
packages/cosecha-core/src/cosecha/core/plugins/timing.py                                        78      0   100%
packages/cosecha-core/src/cosecha/core/registry_knowledge.py                                    43      0   100%
packages/cosecha-core/src/cosecha/core/reporter.py                                              84      0   100%
packages/cosecha-core/src/cosecha/core/reporting_coordinator.py                                 60      0   100%
packages/cosecha-core/src/cosecha/core/reporting_ir.py                                          80      0   100%
packages/cosecha-core/src/cosecha/core/resources.py                                            858      4    99%
packages/cosecha-core/src/cosecha/core/runner.py                                              1475    418    72%
packages/cosecha-core/src/cosecha/core/runtime.py                                              697      3    99%
packages/cosecha-core/src/cosecha/core/runtime_interop.py                                       73      0   100%
packages/cosecha-core/src/cosecha/core/runtime_profiles.py                                     270      0   100%
packages/cosecha-core/src/cosecha/core/runtime_protocol.py                                     241      0   100%
packages/cosecha-core/src/cosecha/core/runtime_worker.py                                       483      0   100%
packages/cosecha-core/src/cosecha/core/scheduler.py                                            162      0   100%
packages/cosecha-core/src/cosecha/core/serialization.py                                         58      0   100%
packages/cosecha-core/src/cosecha/core/session_artifacts.py                                    218      0   100%
packages/cosecha-core/src/cosecha/core/session_timing.py                                        61      0   100%
packages/cosecha-core/src/cosecha/core/shadow.py                                               208      0   100%
packages/cosecha-core/src/cosecha/core/shadow_execution.py                                     134      0   100%
packages/cosecha-core/src/cosecha/core/telemetry.py                                            111      0   100%
packages/cosecha-core/src/cosecha/core/utils.py                                                136      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/__init__.py                           5      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/_version.py                           2      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/coercions.py                        156      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/collector.py                        328      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/completion.py                        81      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/context.py                          120      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/definition_knowledge.py              82      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/discovery.py                        102      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/engine.py                           334      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/formatter.py                        146      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/hooks.py                            104      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/items.py                            168      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/lsp.py                                2      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/managers.py                          45      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/models.py                            98      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/reporting.py                         68      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/step_ast_discovery.py               237      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/step_catalog.py                     289      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/step_materialization.py             184      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/steps/__init__.py                    54      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/steps/definition.py                 105      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/steps/registry.py                   256      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/types.py                              8      0   100%
packages/cosecha-engine-gherkin/src/cosecha/engine/gherkin/utils.py                            151      0   100%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/__init__.py                             4      0   100%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/collector.py                         1531      0   100%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/context.py                             27      0   100%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/discovery.py                           20      0   100%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/engine.py                             324      1    99%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/items.py                              434      0   100%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/resource_bridge_plugin.py             137      2    99%
packages/cosecha-engine-pytest/src/cosecha/engine/pytest/runtime_adapter.py                    184      0   100%
packages/cosecha-instrumentation-coverage/src/cosecha/instrumentation/coverage/__init__.py     129      0   100%
packages/cosecha-lsp/src/cosecha_lsp/__init__.py                                                 2      0   100%
packages/cosecha-lsp/src/cosecha_lsp/_version.py                                                 1      0   100%
packages/cosecha-lsp/src/cosecha_lsp/lsp_server.py                                             304      0   100%
packages/cosecha-mcp/src/cosecha_mcp/__init__.py                                                 2      0   100%
packages/cosecha-mcp/src/cosecha_mcp/_version.py                                                 2      0   100%
packages/cosecha-mcp/src/cosecha_mcp/server.py                                                  61      0   100%
packages/cosecha-mcp/src/cosecha_mcp/service.py                                                560      1    99%
packages/cosecha-mcp/src/cosecha_mcp/worker.py                                                  38      0   100%
packages/cosecha-mcp/src/cosecha_mcp/workspace.py                                               49      0   100%
packages/cosecha-plugin-timing/src/cosecha/plugin/timing/__init__.py                             2      0   100%
packages/cosecha-provider-http/src/cosecha/provider/http/__init__.py                             2      0   100%
packages/cosecha-provider-http/src/cosecha/provider/http/_version.py                             2      0   100%
packages/cosecha-provider-http/src/cosecha/provider/http/asgi_runner.py                         36      0   100%
packages/cosecha-provider-http/src/cosecha/provider/http/provider.py                           729      0   100%
packages/cosecha-provider-http/src/cosecha/provider/http/wsgi_runner.py                         78      0   100%
packages/cosecha-provider-mongodb/src/cosecha/provider/mongodb/__init__.py                       2      0   100%
packages/cosecha-provider-mongodb/src/cosecha/provider/mongodb/_version.py                       2      0   100%
packages/cosecha-provider-mongodb/src/cosecha/provider/mongodb/provider.py                     447      0   100%
packages/cosecha-provider-ssl/src/cosecha/provider/ssl/__init__.py                               2      0   100%
packages/cosecha-provider-ssl/src/cosecha/provider/ssl/_version.py                               2      0   100%
packages/cosecha-provider-ssl/src/cosecha/provider/ssl/provider.py                             179      0   100%
packages/cosecha-reporter-console/src/cosecha/reporter/console/__init__.py                     163      0   100%
packages/cosecha-reporter-json/src/cosecha/reporter/json/__init__.py                            71      0   100%
packages/cosecha-reporter-junit/src/cosecha/reporter/junit/__init__.py                         132      0   100%
packages/cosecha-workspace-python/src/cosecha_workspace_python.py                               57      8    86%
packages/cosecha-workspace/src/cosecha/workspace/__init__.py                                     3      0   100%
packages/cosecha-workspace/src/cosecha/workspace/_version.py                                     1      0   100%
packages/cosecha-workspace/src/cosecha/workspace/discovery.py                                  190      0   100%
packages/cosecha-workspace/src/cosecha/workspace/models.py                                     105      0   100%
packages/cosecha/src/cosecha/shell/__init__.py                                                   1      0   100%
packages/cosecha/src/cosecha/shell/launcher.py                                                 170     32    81%
packages/cosecha/src/cosecha/shell/mochuelo_runtime.py                                          23      1    96%
packages/cosecha/src/cosecha/shell/runner_cli.py                                              1229    440    64%
----------------------------------------------------------------------------------------------------------------
TOTAL                                                                                        21147   1088    95%
